recipe_name,ingredients,prep_time_minutes,cooking_instructions,difficulty,category,servings,rating,last_cooked_date
Apple Cinnamon Oatmeal,"1/2 cup oats, 1 cup milk, 1/2 apple, 1/2 tsp cinnamon, 1/2 tbsp honey",10,"Cook the oats with milk. Add chopped apple, cinnamon, and honey. Stir and serve warm.",Easy,Breakfast,1,4.5,9/10/2026
Egg and Cheese Toast,"2 slices bread, 1 egg, 1 slice cheese, 1/2 tsp butter, salt, black pepper",15,"Toast the bread. Cook the egg in butter, season it, add cheese, and serve on the toast.",Easy,Breakfast,1,4.2,9/14/2026
Avocado Chicken Wrap,"1 tortilla, 1/2 chicken breast, 1/2 avocado, 1/2 tomato, 1 tbsp yogurt, salt, black pepper",25,"Cook and slice the chicken. Mash the avocado and fill the tortilla with chicken, avocado, tomato, and yogurt.",Easy,Lunch,1,4.7,8/28/2026
Creamy Mushroom Pasta,"100 g pasta, 75 g mushrooms, 1/2 cup cooking cream, 1 garlic clove, 1/2 tbsp olive oil, salt, black pepper",35,"Boil the pasta. Saute garlic and mushrooms, add cream and seasoning, then mix with the pasta.",Medium,Dinner,1,4.8,9/1/2026
Oven Baked Salmon,"1 salmon fillet, 1/2 lemon, 1/2 tbsp olive oil, 1 garlic clove, salt, black pepper",40,"Season the salmon with lemon, olive oil, garlic, salt, and pepper. Bake at 200 C until cooked through.",Medium,Dinner,1,4.9,8/15/2026
Banana Pancakes,"1/2 banana, 1 egg, 1/3 cup flour, 1/3 cup milk, 1/2 tsp baking powder, 1/2 tsp butter",20,"Mash the banana and mix with egg, flour, milk, and baking powder. Cook small pancakes in a buttered pan.",Easy,Breakfast,1,4.4,9/12/2026
Vegetable Fried Rice,"2/3 cup cooked rice, 1/3 carrot, 1/3 bell pepper, 1/6 cup peas, 2/3 egg, 2/3 tbsp soy sauce, 1/3 tbsp oil",30,"Cook the vegetables in oil, add the egg and scramble. Add rice and soy sauce, then stir-fry until hot.",Medium,Lunch,1,4.3,8/20/2026
Italian Margherita Pizza,"1/2 cup flour, 1/4 tsp yeast, 3 tbsp warm water, 2 tbsp tomato sauce, 38 g mozzarella, 2 basil leaves",75,"Prepare and rest the dough. Shape it, add tomato sauce and mozzarella, bake until golden, then add basil.",Hard,Dinner,1,4.8,7/30/2026
Orange Chocolate Cake,"1/4 cup flour, 2 tbsp sugar, 1/4 egg, 1/8 orange, 1 tbsp cocoa powder, 1 tbsp butter, 1/8 tsp baking powder",60,Mix the dry and wet ingredients with orange zest and juice. Pour into a small baking dish and bake at 180 C.,Hard,Dessert,1,4.6,6/18/2026
Easy Strawberry Yogurt Parfait,"1/2 cup yogurt, 1/2 cup strawberries, 1/4 cup granola, 1/2 tbsp honey",8,"Layer yogurt, sliced strawberries, and granola in a glass. Drizzle with honey and serve.",Easy,Dessert,1,4.1,9/15/2026
